10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/css/calendar.css, HTTP/1.1, 200, 0.000842
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.011728
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/js/calendar.js, HTTP/1.1, 200, 0.000872
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/js/web2py.js, HTTP/1.1, 200, 0.000606
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001622
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000697
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/js/share.js, HTTP/1.1, 200, 0.000594
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000770
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/images/background.jpg, HTTP/1.1, 200, 0.002667
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/images/twitter.png, HTTP/1.1, 200, 0.000864
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/images/facebook.png, HTTP/1.1, 200, 0.000906
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/images/gplus-32.png, HTTP/1.1, 200, 0.000814
10.192.34.123, 2016-03-11 12:36:42, GET, /AttendancePlus/static/images/favicon.ico, HTTP/1.1, 200, 0.000390
10.192.34.123, 2016-03-11 12:39:41, GET, /api/test, HTTP/1.1, 404, 0.021683
10.192.34.123, 2016-03-11 12:39:41, GET, /favicon.ico, HTTP/1.1, 404, 0.000613
10.192.34.123, 2016-03-11 12:39:45, GET, /api/test, HTTP/1.1, 404, 0.020542
10.192.34.123, 2016-03-11 12:39:47, GET, /api/test, HTTP/1.1, 404, 0.019481
10.192.34.123, 2016-03-11 12:39:53, GET, /api/test.html, HTTP/1.1, 404, 0.019673
10.192.34.123, 2016-03-11 12:39:56, GET, /api/test.json, HTTP/1.1, 404, 0.019498
10.192.34.123, 2016-03-11 12:41:13, GET, /api/, HTTP/1.1, 404, 0.019867
10.192.34.123, 2016-03-11 12:41:15, GET, /api/, HTTP/1.1, 404, 0.021766
10.192.34.123, 2016-03-11 12:43:01, GET, /, HTTP/1.1, 200, 0.122993
10.192.34.123, 2016-03-11 12:43:04, GET, /api, HTTP/1.1, 200, 0.044514
10.192.34.123, 2016-03-11 12:43:11, GET, /api/index, HTTP/1.1, 200, 0.048630
10.192.34.123, 2016-03-11 12:43:15, GET, /api/test, HTTP/1.1, 200, 0.057498
10.192.34.123, 2016-03-11 12:43:18, GET, /api/test.json, HTTP/1.1, 200, 0.021271
10.192.34.123, 2016-03-11 12:43:34, GET, /default/index.json, HTTP/1.1, 200, 0.019985
10.192.34.123, 2016-03-11 12:43:37, GET, /api/index.json, HTTP/1.1, 200, 0.020574
10.192.34.123, 2016-03-11 13:36:46, GET, /, HTTP/1.1, 200, 0.044151
10.192.34.123, 2016-03-11 13:36:49, GET, /api, HTTP/1.1, 200, 0.053773
10.192.34.123, 2016-03-11 13:36:57, GET, /default, HTTP/1.1, 200, 0.034758
192.168.0.104, 2016-03-11 15:24:42, GET, /, HTTP/1.1, 200, 0.164009
192.168.0.104, 2016-03-11 15:24:46, GET, /api, HTTP/1.1, 200, 0.046939
192.168.0.104, 2016-03-11 15:24:52, GET, /api.json, HTTP/1.1, 404, 0.021656
192.168.0.104, 2016-03-11 15:24:57, GET, /api/index.json, HTTP/1.1, 200, 0.022950
192.168.0.104, 2016-03-11 15:26:15, GET, /admin, HTTP/1.1, 200, 0.103336
192.168.0.104, 2016-03-11 15:26:17, POST, /admin, HTTP/1.1, 303, 0.029550
192.168.0.104, 2016-03-11 15:26:17, GET, /admin/site, HTTP/1.1, 200, 0.039497
192.168.0.104, 2016-03-11 15:26:18, POST, /admin/check_version, HTTP/1.1, 200, 0.575891
192.168.0.104, 2016-03-11 15:26:21, GET, /, HTTP/1.1, 200, 0.030925
192.168.0.104, 2016-03-11 15:26:25, GET, /admin/site, HTTP/1.1, 200, 0.056464
192.168.0.104, 2016-03-11 15:26:31, GET, /, HTTP/1.1, 200, 0.038000
192.168.0.104, 2016-03-11 15:26:35, GET, /appadmin, HTTP/1.1, 200, 0.051061
192.168.0.104, 2016-03-11 15:26:36, GET, /appadmin/hooks, HTTP/1.1, 200, 0.113052
192.168.0.104, 2016-03-11 15:26:40, GET, /appadmin/select/db, HTTP/1.1, 200, 0.044548
192.168.0.104, 2016-03-11 15:26:46, GET, /appadmin, HTTP/1.1, 200, 0.080981
192.168.0.104, 2016-03-11 15:26:47, GET, /appadmin/hooks, HTTP/1.1, 200, 0.113820
192.168.0.104, 2016-03-11 15:26:48, GET, /, HTTP/1.1, 200, 0.045955
192.168.0.104, 2016-03-11 15:28:42, GET, /user, HTTP/1.1, 303, 0.021005
192.168.0.104, 2016-03-11 15:28:42, GET, /user/login, HTTP/1.1, 200, 0.035145
192.168.0.104, 2016-03-11 15:41:16, GET, /prints, HTTP/1.1, 200, 0.076764
192.168.1.106, 2016-03-11 15:48:22, GET, /, HTTP/1.1, 200, 0.142373
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000813
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001357
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/js/jquery.js, HTTP/1.1, 200, 0.000925
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/css/calendar.css, HTTP/1.1, 200, 0.000688
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.010162
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/js/calendar.js, HTTP/1.1, 200, 0.001353
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/js/web2py.js, HTTP/1.1, 200, 0.001018
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001532
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001086
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/js/share.js, HTTP/1.1, 200, 0.000796
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000901
192.168.1.106, 2016-03-11 15:48:22, GET, /AttendancePlus/static/images/background.jpg, HTTP/1.1, 200, 0.000955
192.168.1.106, 2016-03-11 15:48:23, GET, /AttendancePlus/static/images/twitter.png, HTTP/1.1, 200, 0.001255
192.168.1.106, 2016-03-11 15:48:23, GET, /AttendancePlus/static/images/facebook.png, HTTP/1.1, 200, 0.000859
192.168.1.106, 2016-03-11 15:48:23, GET, /AttendancePlus/static/images/gplus-32.png, HTTP/1.1, 200, 0.000454
192.168.1.106, 2016-03-11 15:48:23, GET, /AttendancePlus/static/images/favicon.ico, HTTP/1.1, 200, 0.000635
192.168.1.106, 2016-03-11 15:48:26, GET, /prints, HTTP/1.1, 500, 0.103952
192.168.1.106, 2016-03-11 15:48:27, GET, /favicon.ico, HTTP/1.1, 404, 0.000658
